Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
14243;Faculdade Presidente Antônio Carlos de Itabirito;;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,914674792;0;0;0;0;1,914674792;2
14246;Faculdade Presidente Antônio Carlos de Uberaba;;Faculdade;Privada Sem Fins Lucrativos;MG;5;1;1,146341479;0;0;0;0;1,146341479;2
14248;Faculdade Presidente Antônio Carlos de Uberlândia;;Faculdade;Privada Sem Fins Lucrativos;MG;14;1;2,177212332;0;0;0;0;2,177212332;3
14249;Faculdade Presidente Antônio Carlos de Congonhas;;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;2;1;1,143820629;0;0;0;0;1,143820629;2
14258;INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE CAMBUÍ;ISEPEC;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,007146427;0;0;0;0;2,007146427;3
14263;Faculdade Presidente Antônio Carlos de Itajubá;;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,162222957;0;0;0;0;1,162222957;2
14288;FACULDADE CATÓLICA DE SANTA CATARINA;FACASC;Faculdade;Privada Sem Fins Lucrativos;SC;1;1;3,054268568;0;0;0;0;3,054268568;4
14297;FACULDADE SÍNTESE;;Faculdade;Pessoa Jurídica De Direito Privado - Com Fins Lucrativos;PI;1;1;2,729230085;0;0;0;0;2,729230085;3
14313;NOVA FACULDADE;NF;Faculdade;Privada Com Fins Lucrativos;MG;5;1;1,715282388;0;0;0;0;1,715282388;2
14321;FACULDADE MAURÍCIO DE NASSAU DE FORTALEZA;FMN Fortaleza;Faculdade;Privada Com Fins Lucrativos;CE;8;1;2,580347638;0;0;0;0;2,580347638;3
14342;FACULDADE REDENTOR DE CAMPOS;FACREDENTOR;Faculdade;Privada Sem Fins Lucrativos;RJ;5;1;3,001611899;0;0;0;0;3,001611899;4
14401;FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES;FAMO;Faculdade;Privada Com Fins Lucrativos;SP;3;1;1,806714256;0;0;0;0;1,806714256;2
14408;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA;IFB;Instituto Federal De Educação, Ciência E Tecnologia;Pública Federal;DF;6;1;3,365588143;0;0;0;0;3,365588143;4
